Year,Month,Monthly Anom,Monthly Unc,Annual Anom,Annual Unc,5-year Anom,5-year Unc,10-year Anom,10-year Unc,20-year Anom,20-year Unc
1750,1,-0.348,3.596,-1.138,2.292,,,,,,
1750,2,-1.857,3.977,-1.136,1.725,,,,,,
1750,3,-0.980,4.844,-1.159,1.697,,,,,,
1750,4,-0.477,2.600,-1.186,1.709,,,,,,
1750,5,-1.717,2.951,-1.515,0.899,,,,,,
1750,6,-1.548,3.685,-1.494,0.932,,,,,,
1750,7,-0.843,3.256,-1.551,0.949,,,,,,
1750,8,0.014,2.792,-1.678,0.973,,,,,,
1750,9,-0.971,2.246,-1.645,0.949,,,,,,
1750,10,-2.020,2.483,-1.715,0.947,,,,,,
1750,11,-4.317,1.906,-1.715,0.831,,,,,,
1750,12,-2.840,4.964,-1.771,0.813,,,,,,
1751,1,-1.039,3.225,-1.674,0.824,,,,,,
1751,2,-3.382,5.431,-1.740,0.820,,,,,,
1751,3,-0.585,2.415,-1.765,0.819,,,,,,
1751,4,-1.307,3.131,-1.618,0.835,,,,,,
1751,5,-1.727,3.766,-1.433,0.836,,,,,,
1751,6,-2.220,3.695,,,,,,,,
1751,7,0.325,2.754,,,,,,,,
1751,8,-0.775,2.406,,,,,,,,
1751,9,-1.280,2.556,,,,,,,,
1751,10,-0.246,3.051,,,,,,,,
1751,11,-2.099,1.872,,,,,,,,
1751,12,,,,,,,,,,
1752,1,-2.818,4.480,,,,,,,,
1752,2,1.583,4.032,,,,,,,,
1752,3,-0.482,2.524,,,,,,,,
1752,4,-1.522,2.622,,,,,,,,
1752,5,0.079,2.389,,,,,,,,
1752,6,-0.424,3.071,-0.469,2.621,,,,,,
1752,7,0.057,2.168,-0.269,2.128,,,,,,
1752,8,-1.015,2.154,-0.561,1.733,,,,,,
1752,9,0.228,2.711,-0.524,1.628,,,,,,
1752,10,-1.291,2.855,-0.490,1.677,,,,,,
1752,11,0.277,2.095,-0.497,1.999,,,,,,
1752,12,-0.284,3.562,-0.542,2.149,,,,,,
1753,1,-0.416,3.259,-0.636,2.142,,,,,,
1753,2,-1.919,5.548,-0.673,2.301,,,,,,
1753,3,-0.040,2.649,-0.788,1.608,,,,,,
1753,4,-1.114,2.804,-0.716,1.618,,,,,,
1753,5,-0.003,3.678,-0.810,1.773,,,,,,
1753,6,-0.962,3.662,-1.044,1.488,,,,,,
1753,7,-1.071,2.368,-1.024,1.385,,,,,,
1753,8,-1.464,2.503,-1.155,1.320,,,,,,
1753,9,-1.147,3.931,-1.321,1.299,,,,,,
1753,10,-0.433,2.673,-0.953,1.407,,,,,,
1753,11,-0.844,3.323,-0.912,1.455,,,,,,
1753,12,-3.102,2.964,-0.881,1.484,,,,,,
1754,1,-0.172,4.055,-0.845,1.509,,,,,,
1754,2,-3.493,6.414,-0.875,1.430,,,,,,
1754,3,-2.023,2.639,-0.903,1.267,,,,,,
1754,4,3.299,1.988,-0.848,1.299,,,,,,
